Command line: main.py
Total duration: 31.7174s
File: main.py
File duration: 0.610143s (1.92%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         2|            0|            0|  0.00%|import numpy as np
(call)|         1|      1.45633|      1.45633|  4.59%|# <frozen importlib._bootstrap>:978 _find_and_load
     2|         1|            0|            0|  0.00%|import scipy.spatial as sp  # Is the library scipy allowed?
(call)|         1|      1.37131|      1.37131|  4.32%|# <frozen importlib._bootstrap>:978 _find_and_load
     3|         1|            0|            0|  0.00%|import dataset
(call)|         1|   0.00400066|   0.00400066|  0.01%|# <frozen importlib._bootstrap>:978 _find_and_load
     4|         1|            0|            0|  0.00%|import time
     5|         1|            0|            0|  0.00%|import visual
(call)|         1|      12.0971|      12.0971| 38.14%|# <frozen importlib._bootstrap>:978 _find_and_load
     6|         0|            0|            0|  0.00%|
     7|         1|            0|            0|  0.00%|K = np.arange(50)
     8|         0|            0|            0|  0.00%|
     9|         0|            0|            0|  0.00%|
    10|         0|            0|            0|  0.00%|# returns failure rate of data2 compared to data1, parameters have to have same sorting and same shape
    11|       252|   0.00500035|  1.98427e-05|  0.02%|def R(data1, data2):
    12|       251|   0.00300145|   1.1958e-05|  0.01%|    n = len(data1)
    13|       251|   0.00100064|  3.98662e-06|  0.00%|    if not n == len(data2):
    14|         0|            0|            0|  0.00%|        return
    15|         0|            0|            0|  0.00%|
    16|       251|    0.0160086|  6.37793e-05|  0.05%|    f = n - np.count_nonzero(np.isclose(data1, data2).all(axis=1))
(call)|       251|     0.229051|  0.000912553|  0.72%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\numeric.py:2431 isclose
(call)|       251|    0.0150044|  5.97785e-05|  0.05%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\_methods.py:45 _all
(call)|       251|   0.00399828|  1.59294e-05|  0.01%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\numeric.py:406 count_nonzero
    17|       251|  0.000999928|  3.98377e-06|  0.00%|    return f / n
    18|         0|            0|            0|  0.00%|
    19|         0|            0|            0|  0.00%|
    20|         0|            0|            0|  0.00%|# return list of indices of nearest points
    21|         0|            0|            0|  0.00%|# x is in array-shape
    22|         6|            0|            0|  0.00%|def k_nearest(data, x, k_max):  # very time consuming
    23|         5|            0|            0|  0.00%|    dist = sp.distance.cdist(data[:, 1:], x, 'sqeuclidean')  # (~0.1 sec)
(call)|         5|     0.486108|    0.0972216|  1.53%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\scipy\spatial\distance.py:2402 cdist
    24|         5|            0|            0|  0.00%|    part_indx = np.argpartition(dist, k_max, axis=0)[:k_max]
(call)|         5|      2.08047|     0.416094|  6.56%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:742 argpartition
    25|         5|            0|            0|  0.00%|    sort_indx = np.argsort(np.take_along_axis(dist, part_indx, axis=0), axis=0)
(call)|         5|    0.0210061|   0.00420122|  0.07%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\shape_base.py:59 take_along_axis
(call)|         5|    0.0170028|   0.00340056|  0.05%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:942 argsort
    26|         5|            0|            0|  0.00%|    return np.take_along_axis(part_indx, sort_indx, axis=0)  # (~1.4 sec)
(call)|         5|   0.00600076|   0.00120015|  0.02%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\shape_base.py:59 take_along_axis
    27|         0|            0|            0|  0.00%|
    28|         0|            0|            0|  0.00%|
    29|         6|   0.00100064|  0.000166774|  0.00%|def k_nearest_alt(data, x, k):
    30|         5|            0|            0|  0.00%|    dist = sp.distance.cdist(data[:, 1:], x, 'sqeuclidean')  # (~0.1 sec)
(call)|         5|      1.07824|     0.215649|  3.40%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\scipy\spatial\distance.py:2402 cdist
    31|         5|            0|            0|  0.00%|    return np.argpartition(dist, k, axis=0)[:k]  # (~0.5 sec)
(call)|         5|      4.26896|     0.853792| 13.46%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:742 argpartition
    32|         0|            0|            0|  0.00%|
    33|         0|            0|            0|  0.00%|
    34|         0|            0|            0|  0.00%|# computes f_D,k for given x value for k in array shape
    35|         6|            0|            0|  0.00%|def f_naive(data, x, kset):
    36|         5|     0.100024|    0.0200047|  0.32%|    near = k_nearest(data, x, np.max(kset))  # using k_nearest to only compute it once
(call)|         5|   0.00100064|  0.000200129|  0.00%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:2397 amax
(call)|         5|      2.61059|     0.522117|  8.23%|# main.py:22 k_nearest
    37|         5|            0|            0|  0.00%|    y = data[:, :1]
    38|         5|     0.072017|    0.0144034|  0.23%|    nearest_bin = np.take_along_axis(np.repeat(y, len(x), axis=1), near, axis=0)
(call)|         5|     0.651148|      0.13023|  2.05%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\core\fromnumeric.py:429 repeat
(call)|         5|    0.0240066|   0.00480132|  0.08%|# c:\users\rapha\appdata\local\programs\python\python37-32\lib\site-packages\numpy\lib\shape_base.py:59 take_along_axis
    39|         5|            0|            0|  0.00%|    results = []
    40|       255|            0|            0|  0.00%|    for k in kset:
    41|       250|    0.0109999|  4.39997e-05|  0.03%|        result = np.sign(np.sum(nearest_bin[:k], axis=0))
